A1,A2,A3,A4,stop_id,stop_name,stop_lat,stop_lon,verification_status,stop_remarks,stop_code,old_stop_id,stop_id_stepp,public_visible,location_type,zone_shift,stop_url,parent_station,wheelchair_boarding,entrance_restriction,exit_restriction,slot,signalling,shelter,bench,network_map,schedule,real_time_information,tariff,preservation_state,equipment,observations,region,municipality,municipality_fare_1,municipality_fare_2,zone_id,stop_timezone,level_id,platform_code
0,0,1,0,000001,Depot Laranjeiro,38.650848830,-9.151786247,,,,,,0,9,,,,,,,,,,,,,,,,,0,0,,,,,,,
0,0,1,0,000002,Depot Caramujo,38.673724760,-9.153756356,,,,,,0,9,,,,,,,,,,,,,,,,,0,0,,,,,,,
0,0,1,0,000003,Depot Sesimbra,38.486032240,-9.102628094,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,1511,,,,,,
0,0,1,0,000004,Depot Quinta do Conde,38.552810200,-9.038665363,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,1511,,,,,,
0,0,1,0,000009,Depot Broega,38.674483529,-8.978212457,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,1504,,,,,,
0,0,1,0,000010,DouroGás,38.579069311,-9.002964850,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
1,0,0,0,000100,QUELUZ BXO (PARQUE),38.740950000,-9.270100000,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000101,ADROANA (PARQUE),38.740857000,-9.387980000,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000102,TALAÍDE (PARQUE),38.740530000,-9.313590000,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000103,BELEM PARQUE,38.695750000,-9.204680000,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000104,CASAL CAMBRA PARQUE LIDL/ALDI,38.796513230,-9.229278750,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000106,CORTESIA (Parque Catribana),38.901365538,-9.416027916,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000107,GALEGA PARQUE,38.770220000,-9.224285000,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000108,MIRA SINTRA MERCADO (PARQUE),38.787959690,-9.303894520,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000109,MONTELAVAR (PARQUE),38.863930000,-9.330330000,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000110,REBOLEIRA PARQUE,38.755844368,-9.229050355,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000111,RESTELO PARQUE,38.709846469,-9.209937402,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000112,URBANIZACAO SÃO MARCOS,38.750755473,-9.301204872,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000113,VILA CHA PARQUE (Amadora Norte),38.768580643,-9.239952778,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000114,CARCAVELOS (PARQUE),38.685960000,-9.325840000,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000115,TABAQUEIRA (PARQUE),38.753820000,-9.343750000,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000116,ABÓBODA (PARQUE RECHEIO),38.720918000,-9.335260000,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000118,Casal Flosa,38.748299872,-9.354084817,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000119,R. Garcia de Orta 11,38.747691188,-9.210669895,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000120,Grajal,38.781674896,-9.294142970,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000121,Caneças (Bº Maria Teresa),38.816092549,-9.236396606,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000141,Brandoa (Escola),38.764387877,-9.215449710,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000142,Carcavelos (SBE),38.681282139,-9.325723466,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000143,Algés Junça (Centro Comercial),38.705357038,-9.237833656,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000144,Cruz Quebrada (Piscinas),38.704234909,-9.257610910,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000145,Carnaxide (Urbanização Norte),38.733089030,-9.233144651,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000146,MTE ABRAÃO (ESTAÇÃO),38.755645300,-9.265690400,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000147,Almargem Bispo (Centro saúde),38.851809060,-9.264243083,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000148,Oeiras Golf Residence (Rotunda),38.740110583,-9.289058658,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000149,Oeiras (Aerlis),38.703085999,-9.300991458,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000150,Oeiras (Piscina Oceânica),38.677648749,-9.318619163,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000151,Leião,38.730261984,-9.300254171,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000152,COLARES( LG DO INFANTE DOM HENRIQUE),38.803188300,-9.449756500,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000153,Queijas (PSP),38.720562451,-9.263818205,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000154,Carnaxide (Centro Cívico),38.725797557,-9.240720765,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000155,Casal Mira (Centro Comercial),38.776770043,-9.217969635,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000156,Casal Mira (Centro Comercial),38.776765033,-9.217628525,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000157,Massamá - Barcarena (Estação Sul),38.751249434,-9.283602821,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000158,Ericeira (Terminal Rodoviário),38.967269483,-9.406083061,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000159,Barcarena (Fábrica Pólvora Acesso Sul),38.739711195,-9.284860765,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000160,Porto Salvo (Sociedade Musical),38.717462214,-9.301660855,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000161,Escola Ferreira Castro,38.796676474,-9.351729762,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000162,Av Pedro Álvares Cabral (Fte Escola),38.767727765,-9.239382352,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000163,Cruz Quebrada (Piscinas),38.703703300,-9.256755200,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000164,Cruz Quebrada (Estação),38.699981721,-9.252690878,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000165,Linda-a-velha (Alto Stª Catarina),38.705450797,-9.240249078,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000166,Linda-a-velha (Esc Secundária),38.711951828,-9.235602381,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000167,Algés (Estação),38.699328997,-9.227675534,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000168,Algés (Estação),38.699268698,-9.227630367,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000169,Algés (Estação),38.699183821,-9.227618444,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000170,Algés (Estação),38.699111863,-9.227602110,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000171,Algés (Estação),38.698862189,-9.227513743,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000172,Algés (Estação),38.698745818,-9.227461084,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000173,Algés (Estação),38.698598583,-9.227519990,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000174,Hospital S Francisco Xavier,38.709782961,-9.215035719,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000175,Hospital S Francisco Xavier,38.709661499,-9.215418676,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000176,Linda-a-velha,38.713902496,-9.233673265,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000177,Queijas (PSP),38.721027614,-9.263702937,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
1,0,0,0,000178,Queijas (PSP),38.722082073,-9.263510657,,,,,,0,9,,,,,,,,,,,,,,,,,,PT170,999,,,,,,
